# French phrases mapped to English phrases
# Author: @TerryDolan
# Version: 1, containing ~900 words and phrases
# Status: Published
# Last Updated: 23rd May 2025
#
>French: English
à: to, at, in # ignore translation error
absent, absente: absent
accord (m): agreement
accueillir: to welcome, host
acheter: to buy
addition (f): bill, addition e.g. l’addition et la soustraction: addition and subtraction
adolescent, adolescente, ado: teenager, adolescent
adresse (f): address
âge (m): age
agréable: pleasant
ail (m): garlic
aimable: nice, kind
air (m): look, air, tune e.g. Elle a l’air fatiguée: she looks tired
aire (f): area (e.g. service area near a motorway)
ajouter: to add e.g. il ajoute du sel: he is adding some osalt
album (m): album
alcool (m): alcohol
alimentaire: food (relating to food or eating or diet) # ignore translation error
allemagne (f): Germany
allergie: allergy
allergique: allergic
allumer: to light, switch on, light up, put on
alors: so, then
ami, amie: friend
amiable: friendly, sociable, amicable
amicale: friendly, amicable
amoureux, amoureuse: in love
animal (m): animal
animal de compagnie: pet
anniversaire (m): birthday
annuler: to cancel
appareil (m): device
appareil photo: camera
appartement (m): apartment, flat
appeler: to call
application (f): application
apprécier: to appreciate (past participle: apprécié)
apprendre: to learn (to teach: Elle m’apprend le français: she is teaching me French)
araignée (f): spider
arbre (m): tree
argent (m): silver, money
armoire (f): wardrobe, cupboard
arrêt (m): stop
arrondissement (m): area, borough, subdivision (of city)
arroser: to water e.g. il a arrosé la plante: he watered the plant (past participle: arrosé)
art (m): art
ascenseur (m): lift, elevator
asie (f): Asia # ignore translation error
assez: enough, rather
assiette (f): plate
assistant, assistante: assistant
attendre: to wait for
attention: attention, watch out!, careful
attraper: to catch
au: to the, at the, in the (contracted form of à le)
au coin: at the corner
aucun, aucune: any, none, no
aussi: also, too, as
auteur (m): author
autour de/du: around e.g. j’ai marché autour du lac: I walked around the lake
avant: front, before
avenir (m): future, what is to come
avenue (f): avenue
avion (m): plane
bague (f): ring
ballon (m): ball
banane (f): banana
banc (m): bench
barbe (f): beard # ignore translation error
barbecue (m): barbecue
bas: down
basket (m): basketball # ignore translation error
bateau (m): boat
bateau-mouche (m): pleasure boat, tourist boat, riverboat # ignore translation error
bébé (m): baby
besoin de: need to
bibliothèque (f): library
bientôt: soon
bienvenue: welcome
bière (f): beer
bijou (m): a piece of jewellery, jewellery, jewel
billet (m): ticket, note (bill)
biologie (f): biology
biscuit (m): biscuit, cookie
bise (f): kiss (on cheek)
bisou (m): kiss on lips
bizarre: strange, weird
blague (f): joke
blé (m): wheat
blond, blonde: blond
boisson (f): drink, beverage
boîte (f): box, night club
bol (m): bowl
bon, bonne: good, correct, right e.g. bonne rue
bonbon (m): sweet, candy
bondé, bondée: crowded, busy
botte (f): boot
boulangerie (f): bakery
bout (m): end, tip, bit (of street, nose, table, queue, list)
bouteille (f): bottle
bracelet (m): bracelet
bras (m): arm
brésil (m): Brazil
bruit (m): noise
bureau (m): desk, office
ça: this, that, it (informal spoken, contraction of ceci/cela)
cacher: to hide
cadeau (m): present, gift
cahier (m): notebook, excercise book
cahier d’activités: workbook, notebook
camion (m): truck
campagne (f): countryside, campaign e.g. une campagne de marketing: a marketing campaign
camping (m): camping
canapé (m): couch
canard (m): duck
capitale (f): capital
carotte (f): carrot
carré, carrée: square
carte (f): menu, map, card
casque (m): helmet (for bike)
casquette (f): baseball cap
cassé, cassée: broken, bent, cracked
casser: to break
cathédrale (f): cathedral
ce, cette: this, that (sometimes these e.g. ce sont; used before être, devoir and pouvoir)
ceci, cela/ça: this or that (when followed by verb other than être…; ça is spoken version of cela)
ceinture (f): belt
célèbre: famous
célibataire: single, bachelor, single woman
celle-ci, celle-là: this one, that one (singular, feminine)
celles-ci, celles-là: these, those ones (plural, feminine)
cent: one hundred
centime (m): cent (hundreth part of euro) # ignore translation error
centre (m): centre # ignore translation error
centre-ville (m): city centre
cerveau (m): brain
ceux-ci, ceux-là: these, those ones (singular, masculine and plural, masculine)
chaîne (f): channel, chain e.g. TV channel, gold chain
chaise (f): chair
chambre (f): room, bedroom
champagne (m): champagne
champignon (m): mushroom
changer: to change
chanson (f): song
chanter: to sing
chantilly (f): sweetened whipped cream
chapeau (m): hat
chat (m): cat
château (m): castle, palace, mansion
chaud (m): warm, hot
chaussette (f): sock
chaussure (f): shoe
chemin (m): way, path
chemise (f): shirt
chèque (m): cheque, check (US)
chercher: to look for, pick up, seek
cheval (m): horse
cheveu (m): hair
chimie (f): chemistry
chine (f): China # ignore translation error
chine (m): porcelain, china # ignore translation error
chinois: Chinese
chose (f): thing
chouette: great, neat, nice (informal, adverb) # ignore translation error
chouette (f): owl
ciel (m): sky
ciné (m): cinema (informal)
cinéma (m): cinema, movie theatre # ignore translation error
citron (m): lemon
clair, claire: light, clear, fair e.g. bleu clair: light blue
classe (f): class
clavier (m): keyboard
clé (f): key
client, cliente: customer
clown (m): clown
cochon (m): pig
code (m): code, PIN (of card)
coffre (m): boot, chest, trunk (US)
coin (m): corner
collègue: colleague (noun can be masculine of feminine)
collier (m): necklace, collar
colline (f): hill
commander: to order
comme: like, as
commencer: to start (usually followed by à if verb)
compagnie (f): company, gathering
comprendre: to understand
compte (m): account (bank)
concert (m): concert
conduire: to drive
confiture (f): jam
confortable: comfortable
connaitre: to know people or places (when you are familiar with someone or something)
conseil (m): piece of advice
conseiller: to advise (followed by de if verb follows)
contact (m): contact
continent (m): continent
conversation (f): conversation
copain, copine: friend, boyfriend/girlfriend
corps (m): body
costume (m): suit
coton (m): cotton e.g. son pantalon sont en coton: his pants are cotton
couleur (f): colour
courir: to run (past participle: couru)
court, courte: short
cousin, cousine: cousin
coussin (m): pillow, cushion
couteau (m): knife
coûter: to cost
couverture (f): blanket
cravate (f): tie
crayon (m): pencil
crème (f): cream # ignore translation error
crème (m): white coffee e.g. un grand crème: a large espresso coffee with milk # ignore translation error
crêpe (f): crepe, pancake # ignore translation error
crevé, crevée: flat, punctured e.g. un pneu crevé: a flat tire # ignore translation error
crever: to burst, have a puncture # ignore translation error
croire: to believe, think
croissant (m): croissant
cuillère (f): spoon
cuillère à café or une petite cuillère: teaspoon
cuillère à soupe: tablespoon
cuir (m): leather
cuisine (f): kitchen
cuisiner: to cook
cuisinier, cuisinière: cook (noun)
d’accord: all right, ok
dangereux, dangereuse: dangerous
danser: to dance
danseur, danseuse: dancer
début (m): beginning
déçus: disappointed
degré: degree e.g. deux degrés Celsius
dehors: outside, out
déjà: already
déjeuner (m): lunch; to have lunch e.g. petit déjeuner: breakfast
demander: to ask for
démarrer: to start, start up, move off (usually a vehicle)
dépêche-toi, dépêchez-vous: hurry up
dépêchons-nous: let’s hurry
dépenser: to spend
depuis: since, for e.g. je nagé depuis une heure: I am swimming for an hour (and still swimming)
dernier, dernière: last
descendre: to come down, go down, descend, climb down
désolé, désolée: sorry
dessert (m): dessert
dessin (m): drawing
dessiner: to draw
déteste: hate
deuxième: second e.g. second place in race
devant: in front of, in front
devenir: to become
devoir (m): duty (noun); to owe, have to, must, owe to (verb, indicates obligation or duty - used in personal obligation; whereas falloir more general)
différence: difference
différent, différente: different
dîner (m): dinner; to have dinner, dine (evening meal)
directeur, directrice: director
discuter: to discuss
disponible: available
distributeur (m): ATM, cash machine, vending machine, distributer (e.g. of cars)
dixième: tenth
document (m): document
donc: so
donner: to give
dos (m): back
dossier (m): file, folder, case
douche (f): shower
douleur (f): pain
droit, droite: right
drôle: funny
dur: hard
écharpe (f): scarf
école (f): school
économiser: to save
écrire: to write
écriture (f): signature, hand-writing
effacer: to delete, erase, rub out (e.g. delete photo from camera)
église (f): church
éléphant (m): elephant
émail (m): email
embouteillage (m): traffic jam
émission (f): show, programme, series e.g. a show on TV # ignore translation error
employé, employée: employee
emprunter: to borrow
en: in, of them e.g. il en à dix: he has ten of them
en face de: across from, opposite, in front of
enchanté, enchantée: delighted to meet you, enchanted
encore: again, still, yet
enfance (f): childhood
enfin: finally
enlever: to remove, take off, take away, kidnap(!)
ennuyeux, ennuyeuse: boring
ensuite: then, after that, next
entendre: to hear (past participle: entendu)
entier: whole, entire
entraîneur: coach (covers male and female)
entre: between
entreprise (f): company, business
entrer: to enter, come in
enveloppe (f): envelope
envie (f): envy, desire, wish, urge, craving
envier: to envy
environ: about, approximately
envoyer: to send
épice (f): spice # ignore translation error
épisode (m): episode
époque (f): time, period, era, epoch
équipe (f): team
escalier (m): stairs
espérer: to hope
essayer: to try on
essence (f): petrol, gas, essence (extract of a plant)
est (m): east
estomac (m): stomach
étage (m): stage, floor
étagère (f): bookshelf, shelf
éteindre: to turn off
éternuement (m): sneeze
éternuer: to sneeze
étoile (f): star
étoilé, étoilée: starry
être: to be
être là: to be there, be here e.g. je suis là: I am here
étudier: to study (past participle: étudié)
européen: European
eux: them
excellent, excellente: excellent
exercice (m): exercise
expliquer: to explain
fac (f): school, college, uni
faim: hunger
faire: to do, make
faire du sport: to exercise, play sports, do sport
falloir: to have to, need to, should, it is necessary to (indicates a need or necessity - impersonal, used in general obligation; whereas devoir more personal: focus on the action)
fantastique: fantastic
farine (f): flour
félicitation (f): congratulation (usually plural)
femme (f): woman, wife # ignore translation error
fenêtre (f): window
férié, fériée: holiday (adjective) # ignore translation error
fête (f): party
feuille (f): leaf, sheet
film (m): film, movie
fin (f): end # ignore translation error
fleur (f): flower
fleuve (m): river, flows into sea
fois (f): time, times e.g. une fois: once, deux fois: twice
foncé: dark e.g. bleu foncé: dark blue
forêt (f): forest
forme (f): shape
formulaire (m): form
fou, folle: crazy, wild
four (m): oven
fourchette (f): fork
fragile: fragile (adjective)
frais, fraîche: fresh
fraise (f): strawberry
frigo (m): fridge
froid, froide: cold
fromage (m): cheese
front (m): forehead
fumer: to smoke
futur (m): future
gagner: to win, earn, make e.g. il gagne un bon salaire: he earns good money (past participle: gagné)
gant (m): glove
gare (f): train station
gare-toi ici: park here # ignore translation error
garer: to park
gâteau (m): cake
gazeuse: sparkling
génial, géniale: great
genou (m): knee
genre (m): type, kind, gender
gentil, gentille: kind, nice
géographie (f): geography
glace (f): ice cream
grain (m): grain
grammaire (f): grammar
gramme (m): gram
grand, grande: big, great, tall, large
grand-parent: grandparent (plural: grands-parents)
grandir: to grow, grow up, magnify, gain weight (opposite of maigrir)
gratuit, gratuite: free, no cost
grignoter: to snack, nibble
gris (m): grey # ignore translation error
gros, grosse: fat
grossir: to gain weight, enlarge # ignore translation error
groupe (m): band
guerre (f): war
guide (m): guidebook # ignore translation error
guitare (f): guitar
habitude (f): habit
hall (m): hall, lobby, foyer
handball (m): handball
haut: up, high
hebdomadaire: weekly
hélicoptère (m): helicopter
heure (f): hour
heureux, heureuse: happy
hier: yesterday
histoire (f): history
hiver (m): winter
homme (m): man
honte: shame
hôpital (m): hospital
horaire (m): timetable, schedule (noun); hourly (adjective)
horloge (f): clock
hôtel (m): hotel
huile (f): oil
idée (f): idea
il: he, it
il y a trop de monde: there are too many people
île (f): island
immediatement : immediately
immeuble (m): appartement building
imperméable (m): raincoat (noun); impermeable, impervious (adjective)
important, importante: important
imprimante (f): printer
incroyable: incredible, fantastic, amazing
indien, indienne: Indian
informations (f): information, news (usually plural e.g. les informations: the news; une information: a piece of information)
ingénieur, ingénieure: engineer
inquiet, inquiète: worried e.g. je suis inquiéte
inquiéter: to worry
interdit: forbidden, not allowed
intérieur (m): inside, inner, interior
invité, invitée: guest
itinéraire (m): itinerary
jamais: never
jambon (m): ham
jazz (m): jazz
jeu (m): game
jeune: young
joli: pretty
jouet (m): toy
jour (m): day, unit of time
jour férié: public holiday
journal (m): newspaper
journée (f): day, daytime, content of the day
jupe (f): skirt
jusqu’à: until, up to, as far as e.g. j’ai marché jusqu’au restaurant: i walked up to the restaurant (but didn’t go in)
kilo (m): kilogram, kilo
la: the, her, it, one's # ignore translation error
là: there, here (here used in conversation)
là-bas: over there
lac (m): lake
laine (f): wool
lait (m): milk
lampe (f): lamp
langue (f): language
lapin (m): rabbit
laver: to wash
le: the, him (direct)
leçon (f): lesson
légume (m): vegetable
lentement: slowly
les: the, them, one's
les baskets: sneakers, trainers (feminine plural)
les devoirs: homework (masculine plural)
les gens: people (masculine plural)
les mathématiques: maths, mathematics (feminine plural)
les pâtes: pasta (feminine plural) # ignore translation error
les vacances: holidays, vacation (feminine plural, singular means vacancy)
les vêtements: clothes (masculine plural)
lettre (f): letter
leur, leurs: their, them e.g. c’est leur sac alors je leur ai donné le sac: it is their bag so I gave them the bag
librairie (f): bookshop, book store # ignore translation error
libre: free, no restriction
lien (m): link e.g. for a website
lieu (m): place
ligne (f): line e.g. une ligne de metro
lit (m): bed
litre (m): litre # ignore translation error
livre (f): pound e.g. une livre de beurre: a pound of butter # ignore translation error
livre (m): book # ignore translation error
loin: far
long, longue: long
longtemps: a long time
louer: to rent
loup (m): wolf
lui: him, to him, her, to her, it, to it (indirect)
lycée (m): high school
machine (f): machine
magasin (m): shop, store
magazine (m): magazine
magnifique: wonderful, magnificent
maigrir: to lose weight (opposite of grandir)
maillot (m): jersey, vest
maillot de bain: swimsuit
main (f): hand # ignore translation error
maintenant: now
mais: but
maison (f): house # ignore translation error
maître nageur: lifeguard
mal (m): ache, pain, hurt, bad, evil (noun); wrong, badly (adjective, adverb)
malade: ill, sick e.g. un homme malade
maladie (f): sickness, disease
malheureusement: unfortunately
mamie (f): grandma, granny
manteau (m): coat
manuel (m): textbook, manual
marche: to walk, work e.g. l’ordinateur ne marche pas
mari (m): husband
marre: fed up
marron: brown
matière (f): subject, matter
médicament (m): medicine, medication
meilleur, meilleure: better, best (usually with noun, comparative bon e.g. le meilleur: the best)
mélanger: to mix
membre (m): member
même: same, even
mémoire (f): memory # ignore translation error
mentir: to lie
mer (f): sea
message (m): message # ignore translation error
métier (m): occupation, job
mètre (m): metre # ignore translation error
métro (m): subway, underground, metro
mettre: to put on
meuble (m): furniture
mexique (m): Mexico # ignore translation error
midi (m): midday, noon, lunchtime
miel (m): honey
mieux (m): better and best (usually with verb, comparitive bien e.g. il écrit le mieux: he writes the best)
mignon, mignonne: cute
mince: narrow, slim, thin
minéral (m): mineral (e.g. mineral water)
minute (f): minute
mode (f): fashion # ignore translation error
mode (m): directions, way e.g. le mode d’emploi: directions for use # ignore translation error
mois (m): month
moment (m): moment
monde (m): world
mondial: international, global, world, worldwide
monnaie (f): currency, cash, change (coins)
montagne (f): mountain
montre (f): watch
montrer: to show
monument (m): monument
morte (f): death (noun); dead (adjective)
mosquée (f): mosque
mot (m): word
moteur (m): engine, motor
moto (f): motorcycle
moustique (m): mosquito
mur (m): wall
musée (m): museum # ignore translation error
n’importe où: anywhere
nager: to swim
naissance (f): birth
naître: to be born
ne personne: no one, nobody e.g. je ne veux personne: I see nobody
neige (f): snow
neiger: to snow
nettoyer: to clean (past participle: nettoyé)
neuf, neuve: new, brand new, never used before
neveu (m): nephew
nez (m): nose
nièce (f): niece
noel: Christmas
nom (m): name, last name
nord (m): north
note (f): note
nourriture (f): food
nouvelle, nouveau: new
nuage (m): cloud
nuit (f): night
numérique: digital
numéro (m): number (cellphone)
occupé, occupée: busy, occupied, taken
oeil (m): eye
oeuf (m): egg
offrir: to offer, give (something) e.g. Il lui offre un cadeau: he is giving her a present
oignon (m): onion
oiseau (m): bird
omelette (f): omelette
on: we, you, one, someone
opéra (m): opera house
or (m): gold
ordinateur (m): computer
oreille (f): ear
orge (f): barley # ignore translation error
ou: or
où: where # ignore translation error
oublier: to forget
ouest (m): west
ours (m): bear
ouvrir: to open
paire (f): pair e.g. une paire de baskets: a pair of sneakers
pantalon (m): pants, trousers
papi (m): grandad, grandpa # ignore translation error
papier (m): paper
pâques: Easter
par: by, through, a, out, per
parapluie (m): umbrella
parc (m): park
pardon: pardon, excuse me, sorry!
paresseux, paresseuse: lazy
parfait, parfaite: perfect
parfois: sometimes
parfum (m): perfume, scent
parking (m): parking lot, parking space, car park
part (f): part, share, piece # ignore translation error
partie (f): part, game
partir: to leave (from; intransitive, required de with object)
partout: everywhere
pas: not
passager, passagère: passenger
passé (m): past # ignore translation error
passeport (m): passport
passer: to spend, cross, go through, pass (past participle: passé)
pastèque (f): watermelon
pause (f): pause, break
payer: to pay for
pays (m): country
pêcher: to fish, catch # ignore translation error
peindre: to paint
peinture (f): painting, paint
pelouse (f): lawn, grass
pendant: for, during, while (for some time) e.g. j’ai cuisiné pendant une heure: I cooked for an hour
penser: to think e.g. je pense à toi: I'm thinking of you
perdre: to lose (past participle: perdu)
permis (m): licence, permit
personne (f): person (noun); nobody, anybody (pronoun) # ignore translation error
personnel (m): personnel, staff
petit, petite: small, short
petit-fils: grandson
petits-enfants: grandchildren
peu (m): little
peur (f): fear (noun); scared, afraid e.g. il a peur: he is afraid
peut-être: maybe, perhaps
photo (f): photo
photographe: photographer (can be masculine or feminine)
phrase (f): sentence
physique (f): physics e.g. il est professeur de physique: he’s a physics teacher # ignore translation error
physique (m): physique # ignore translation error
piano (m): piano
pièce (f): room, coin, piece, play, part (any type of room)
pied (m): foot
pilot (m): pilot
pique-nique (m): picnic
piscine (f): pool
placard (m): cupboard, closet
place (f): seat, square, place e.g. La place de la République
plafond (m): ceiling
plage (f): beach
plan (m): map, plan
planète (f): planet
plat (m): dish, flat (adjective)
plein, pleine: full, a lot of e.g. la rue est pleine de gens: the street is full of people
plomb (m): lead (metal)
pluie (f): rain
plume (f): feather
plus: more e.g. les frères les plus vieux : the older brothers
plusieurs: several
pneu (m): tyre # ignore translation error
poire (f): pear
poivre (m): pepper
police (f): police
pomme (f): apple
pont (m): bridge
populaire: popular
portable (m): mobile, laptop # ignore translation error
porte (f): door
portefeuille (m): wallet
postale: post, mail, postal (adjective)
poubelle (f): bin, garbage can
poulet (m): chicken
poupée (f): doll
pour: for, to (for the benefit of) e.g. je cuisine pour toi (not used for time, see pendant)
pratiquer: to practice
préférer: to prefer
première (f): first
prendre: to take (past participle: pris)
prénom (m): first name
préparer: to prepare, make e.g. j’ai préparé un repas (past participle: preparé)
présenter: to introduce, present
presque: almost
presser: to squeeze, be in a hurry, rush, press e.g. elle est pressée: she's in a hurry
prêter: to lend
prévoir: to predict, plan, expect
printemps (m): spring
probablement: probably
problème (m): problem, issue
prochain, prochaine: next
proche: near, nearby, close to
projet (m): project
promotion (f): promotion, sale
propre: clean, own (adjective)
puce (f): flea, chip
puis: then, next
pull (m): sweater
purée (f): purée
pyjama (m): pyjamas
quand: when
quartier: neighbourhood, area, quarter # ignore translation error
quatrième: fourth
que: that, what
quel, quelle: who, what, which
quelqu’un: someone
quelque chose: something, anything
quelques: a few, some
question (f): question
qui: who, that, which
